date_day,station,temp_F_max,temp_F_min,temp_F_mean,precip_in_sum
2020-11-11,South Baldy Ridge,27.9,23.6,25.1,0
2020-11-11,Sanfoin Bench,35.2,28.8,31.4,0.1
2020-11-11,Orchard House,32.9,31,31.7,0.1
2020-11-10,Baldy Draw,32,19.6,25.6,0
2020-11-10,Baldy Summit,24.7,16.2,19.2,0
2020-11-10,Sanfoin Bench,38.6,17,28,0
2020-11-10,South Baldy Ridge,29.5,18.9,22.3,0
2020-11-10,Orchard House,30.4,16.8,21.1,0
2020-11-10,Indian Ridge,34.9,16.4,22.5,0
2020-11-09,Baldy Summit,16.7,7.5,10.4,0
2020-11-09,Baldy Draw,23.4,12.7,17.2,0
2020-11-09,Sanfoin Bench,29.3,16.3,24.8,0
2020-11-09,Indian Ridge,26.2,12.9,18.4,0
2020-11-09,South Baldy Ridge,20.5,10.5,14.1,0
2020-11-09,Orchard House,25.1,15.8,19.3,0
2020-11-08,Baldy Draw,36.4,16.8,26.2,0.1
2020-11-08,Baldy Summit,31.4,10.1,18.8,0
2020-11-08,South Baldy Ridge,35.1,13.6,22.2,0
2020-11-08,Sanfoin Bench,41.7,24,32.5,0.1
2020-11-08,Orchard House,,,,0
2020-11-08,Indian Ridge,39,20,26.7,0.1
2020-11-07,Sanfoin Bench,50.1,38.5,42.7,0
2020-11-07,Orchard House,49.7,37.4,42.4,0
2020-11-07,Baldy Summit,41.2,33.4,36.6,0
2020-11-07,South Baldy Ridge,46.9,36.4,39.9,0
2020-11-07,Indian Ridge,47.5,35.9,40.3,0
2020-11-07,Baldy Draw,48.4,36.8,40.4,0
2020-11-06,Sanfoin Bench,57.2,46.3,50.9,0
2020-11-06,Orchard House,59.9,46,51,0
2020-11-06,Baldy Summit,55,36.5,42.9,0
2020-11-06,Indian Ridge,56,43.4,48.5,0
2020-11-06,South Baldy Ridge,58.9,39.6,47,0
2020-11-06,Baldy Draw,59.3,40.9,47.8,0
2020-11-05,Sanfoin Bench,71.1,36.8,51,0
2020-11-05,Indian Ridge,68.3,43.7,55.4,0
2020-11-05,Orchard House,72.3,39.2,56.6,0
2020-11-05,Baldy Summit,57.5,48.3,51.8,0
2020-11-05,South Baldy Ridge,62.9,50.5,55.5,0
2020-11-05,Baldy Draw,65.2,47.6,56.9,0
2020-11-04,South Baldy Ridge,59.3,47.5,52.5,0
2020-11-04,Sanfoin Bench,55.7,36.5,43.9,0
2020-11-04,Indian Ridge,56.8,38.4,47.2,0
2020-11-04,Baldy Summit,54,45.5,48.4,0
2020-11-04,Orchard House,56.3,37.9,44.9,0
2020-11-04,Baldy Draw,58.9,44.1,51.9,0
2020-11-03,Orchard House,58.9,26.3,38.8,0
2020-11-03,South Baldy Ridge,62,47,52.5,0
2020-11-03,Baldy Summit,58.9,45.1,50.5,0
2020-11-03,Sanfoin Bench,58.9,24.9,38.2,0
2020-11-03,Indian Ridge,56,30.8,40.3,0
2020-11-03,Baldy Draw,61.4,40.2,47.8,0
2020-11-02,Baldy Summit,57.6,42.5,47.8,0
2020-11-02,Sanfoin Bench,55.2,27.4,38.9,0
2020-11-02,South Baldy Ridge,61.4,41.7,47.7,0
2020-11-02,Orchard House,55.2,26.7,37.9,0
2020-11-02,Indian Ridge,52.9,28.4,38.6,0
2020-11-02,Baldy Draw,54.1,33.8,43.2,0
2020-11-01,Sanfoin Bench,52.9,29.3,39.6,0
2020-11-01,South Baldy Ridge,53.9,32.8,41.5,0
2020-11-01,Indian Ridge,51.3,26.4,36.9,0
2020-11-01,Baldy Draw,52.6,34.5,41.5,0
2020-11-01,Orchard House,53.3,26.8,37.3,0
2020-11-01,Baldy Summit,52.9,34.1,39.5,0
2020-10-31,South Baldy Ridge,45,34.8,39.8,0
2020-10-31,Baldy Draw,47.4,34.3,40.6,0
2020-10-31,Baldy Summit,41.4,30.1,34.9,0
2020-10-31,Orchard House,51.2,31.6,43.9,0
2020-10-31,Indian Ridge,48.4,35.5,42.7,0
2020-10-31,Sanfoin Bench,52.2,30,43.4,0
2020-10-30,South Baldy Ridge,58,37.6,48.6,0
2020-10-30,Baldy Summit,52.4,34.7,45.5,0
2020-10-30,Sanfoin Bench,63.1,26.8,39.2,0
2020-10-30,Orchard House,65.1,27.2,40.2,0
2020-10-30,Indian Ridge,61.2,30.8,42.6,0
2020-10-30,Baldy Draw,60.7,39.5,48.7,0
2020-10-29,Indian Ridge,56.9,26.7,37.8,0
2020-10-29,Baldy Draw,57.6,37.4,47.3,0
2020-10-29,Sanfoin Bench,59.8,28.9,42.1,0
2020-10-29,South Baldy Ridge,56.6,42.2,47.5,0.1
2020-10-29,Baldy Summit,52.3,39.9,44.7,0
2020-10-29,Orchard House,59.8,24.5,36.2,0
2020-10-28,Indian Ridge,40.2,22.5,29.3,0
2020-10-28,Baldy Summit,43.1,35.7,38,0
2020-10-28,Sanfoin Bench,41.9,25.9,33.8,0
2020-10-28,South Baldy Ridge,47.2,38.6,41.4,0.2
2020-10-28,Orchard House,42.4,22.1,28.4,0
2020-10-28,Baldy Draw,48.1,31.8,38.1,0
2020-10-27,Baldy Draw,38.2,15.4,27.9,0
2020-10-27,Sanfoin Bench,39,19.5,30.9,0.1
2020-10-27,Indian Ridge,35,14.7,20.5,0.1
2020-10-27,South Baldy Ridge,41.1,21.7,28.5,0.2
2020-10-27,Baldy Summit,37.5,19.2,25.8,0
2020-10-27,Orchard House,30.6,14.9,19.4,0
2020-10-26,Baldy Summit,20.1,5.1,10.4,0
2020-10-26,Sanfoin Bench,18.7,7.1,11.7,0
2020-10-26,Orchard House,18.6,0.2,10.1,0
2020-10-26,Indian Ridge,16.4,0,7.8,0
2020-10-26,South Baldy Ridge,22.2,8.7,12.2,0
2020-10-26,Baldy Draw,14.8,5.9,9.4,0
2020-10-25,Indian Ridge,19.4,4.4,11.8,0.1
2020-10-25,Baldy Draw,16.9,5.7,9.6,0
2020-10-25,Orchard House,22.1,4.9,12.7,0
2020-10-25,Baldy Summit,13.4,-0.7,4.3,0
2020-10-25,South Baldy Ridge,13,4.4,8.3,0
2020-10-25,Sanfoin Bench,22.1,2.8,11.2,0.1
2020-10-24,Sanfoin Bench,27.4,22.5,25.2,0
2020-10-24,Indian Ridge,25.8,19.6,22.5,0
2020-10-24,Baldy Draw,24.4,16,21,0
2020-10-24,Orchard House,27.6,21,24.6,0
2020-10-24,South Baldy Ridge,26.4,13.4,19.6,0
2020-10-24,Baldy Summit,26.7,8.2,17,0
2020-10-23,Baldy Summit,24.3,18,20.3,0
2020-10-23,Orchard House,32.3,19.2,25.2,0
2020-10-23,South Baldy Ridge,27.6,20.2,23.2,0
2020-10-23,Sanfoin Bench,33,22.7,27.6,0
2020-10-23,Indian Ridge,29.2,18.3,23.7,0
2020-10-23,Baldy Draw,27,18.4,23.3,0
2020-10-22,South Baldy Ridge,28.6,18.8,23.9,0
2020-10-22,Orchard House,34.7,21.1,29.7,0.1
2020-10-22,Baldy Summit,26.1,13.9,19.8,0
2020-10-22,Sanfoin Bench,35.7,21.2,31,0.1
2020-10-22,Indian Ridge,31.6,22.2,28,0
2020-10-22,Baldy Draw,29.9,19.9,25.9,0.2
2020-10-21,Orchard House,49.1,33.5,41.9,0.1
2020-10-21,South Baldy Ridge,40.3,29.1,36.4,0
2020-10-21,Sanfoin Bench,49.2,35.8,42.3,0.1
2020-10-21,Indian Ridge,45.8,31.9,40,0
2020-10-21,Baldy Draw,43.6,30.8,38.1,0
2020-10-21,Baldy Summit,35.1,27,32.6,0
2020-10-20,Baldy Summit,41.6,32.5,36.3,0.1
2020-10-20,Sanfoin Bench,51.9,42.2,47.4,0.1
2020-10-20,South Baldy Ridge,46.7,36.3,40.9,0.1
2020-10-20,Baldy Draw,48.8,37,42.3,0.2
2020-10-20,Indian Ridge,51.1,39.8,45,0.1
2020-10-20,Orchard House,53,41.8,47.3,0.1
2020-10-19,Sanfoin Bench,54.6,38.8,42.7,0.4
2020-10-19,Indian Ridge,51.7,36.9,41.6,0.3
2020-10-19,Baldy Summit,42,37,39.8,0.4
2020-10-19,Baldy Draw,49.2,40,44.1,0.4
2020-10-19,South Baldy Ridge,46.6,39.9,43.6,0.1
2020-10-19,Orchard House,54.2,38.5,42,0.4
2020-10-18,Indian Ridge,41,32,36,0.3
2020-10-18,South Baldy Ridge,42,36,38.6,0
2020-10-18,Baldy Draw,42,36,39,0.3
2020-10-18,Orchard House,43,35,38.2,0.3
2020-10-18,Sanfoin Bench,43,35,38.1,0.2
2020-10-18,Baldy Summit,39,33,35.7,0.2
2020-10-17,Indian Ridge,51,41,45.2,0.4
2020-10-17,Baldy Summit,37,34,35.5,0.5
2020-10-17,Orchard House,52,43,47.6,0.2
2020-10-17,South Baldy Ridge,42,38,40.1,0
2020-10-17,Baldy Draw,49,40,42.9,0.6
2020-10-17,Sanfoin Bench,51,43,46.8,0.5
2020-10-16,Sanfoin Bench,65,37,49.2,0
2020-10-16,Baldy Summit,48,31,40.2,0
2020-10-16,Indian Ridge,60,38,48.7,0
2020-10-16,Orchard House,63,38,50.3,0
2020-10-16,Baldy Draw,56,38,47,0
2020-10-16,South Baldy Ridge,53,35,44.4,0
2020-10-15,Baldy Summit,35,30,31.6,0.1
2020-10-15,South Baldy Ridge,41,33,36,0
2020-10-15,Orchard House,51,35,42,0.2
2020-10-15,Indian Ridge,48,35,40.4,0.2
2020-10-15,Baldy Draw,46,33,38,0.3
2020-10-15,Sanfoin Bench,52,35,41.9,0.2
2020-10-14,Orchard House,52,39,46.1,0
2020-10-14,Baldy Summit,39,31,34.2,0
2020-10-14,Baldy Draw,47,35,40.7,0
2020-10-14,Sanfoin Bench,52,39,46.6,0
2020-10-14,South Baldy Ridge,44,34,38.6,0
2020-10-14,Indian Ridge,49,37,43.9,0
2020-10-13,Baldy Summit,46,35,38.6,0.2
2020-10-13,Sanfoin Bench,58,38,45.7,0.2
